Name,Caption,Alt
well_fed_red_head_1,Well-fed little red-head,Baby1
well_fed_red_head_2,Well-fed little red-head,Baby2
baby_3,Baby Photo,Baby Photo 3
baby_4,Baby Photo,Baby Photo 4
baby_5,Baby Photo,Baby Photo 5
baby_6,Baby Photo,Baby Photo 6
baby_7,Baby Photo,Baby Photo 7
baby_8,Baby Photo,Baby Photo 8
baby_9,Baby Photo,Baby Photo 9
baby_10,Baby Photo,Baby Photo 10
baby_11,Baby Photo,Baby Photo 11
baby_12,Baby Photo,Baby Photo 12
toddler_3,Toddler Photo,Toddler Photo 3
toddler_4,Toddler Photo,Toddler Photo 4
toddler_5,Toddler Photo,Toddler Photo 5
toddler_6,Toddler Photo,Toddler Photo 6
toddler_7,Toddler Photo,Toddler Photo 7
toddler_8,Toddler Photo,Toddler Photo 8
toddler_9,Toddler Photo,Toddler Photo 9
toddler_10,Toddler Photo,Toddler Photo 10
toddler_11,Toddler Photo,Toddler Photo 11
clearys_1,Cleary,Cleary 1
clearys_2,Cleary,Cleary 2
clearys_3,Cleary,Cleary 3
clearys_4,Cleary,Cleary 4
clearys_5,Cleary,Cleary 5
clearys_6,Cleary,Cleary 6
clearys_7,Cleary,Cleary 7
clearys_8,Cleary,Cleary 8
clearys_9,Cleary,Cleary 9
clearys_10,Cleary,Cleary 10
clearys_11,Cleary,Cleary 11
clearys_12,Cleary,Cleary 12
clearys_13,Cleary,Cleary 13
clearys_14,Cleary,Cleary 14
aunt_eve_and_mother,Aunt Eve and Mother,Aunt Eve and Mother
grandma,Grandma,Grandma
aunt_ann,Aunt Ann,Aunt Ann
aunt_eve,Aunt Eve,Aunt Eve
with_mother,Mother and I,With Mother
marie_tom_i_uncle_bill,"Marie, Tom and I with Uncle Bill",With Uncle Bill
marie_and_i,Marie and I,Marie and I
grandfather_cleary,Grandfather Cleary,Grandfather Cleary
harrisburg_toddler1,Me as a toddler in nearby park,Park Toddler 1
harrisburg_toddler2,Me as a toddler in nearby park,Park Toddler 2
harrisburg_toddler3,Me as a toddler in nearby park,Park Toddler 3
unlce_maurice_and_i,Uncle Maurice (Jere) and I,Uncle Maurice and I
me_at_island_beach,"Me at ""Island Beach""",Island Beach 1
mother_and_i_at_island_beach,"With Mother at ""Island Beach""",Island Beach 2
island_beach_3,At Island Beach,Island Beach 3
island_beach_4,At Island Beach,Island Beach 4
island_beach_5,At Island Beach,Island Beach 5
island_beach_6,At Island Beach,Island Beach 6
with_mother_ in_1526_backyard,"With my mother, in the backyard at 1526 Susquehanna St.",Backyard 1
in_1526_backyard_2,In the backyard at 126 Susquehanna St,Backyard 2
in_1526_backyard_3,In the backyard at 126 Susquehanna St,Backyard 3
in_1526_backyard_4,In the backyard at 126 Susquehanna St,Backyard 4
marie_and_i_2,Marie And I,Marie and I 2
marie_dorothy_and_i,"Marie, Dorothy and I",Marie and Dorothy
first_communion,First Communion,First Communion
7225_tuxedo_ave,"7225 Tuxedo Ave, Detroit",7225 Tuxedo Ave
cloverlawn_ave,Cloverlawn Avenue,Cloverlawn Avenue
mother_and_peg,"My mother with her friend, Peg Young",Mother and Peg
summer_in_harrisburg_1,Summer in Harrisburg,Harrisburg Summer 1
summer_in_harrisburg_2,Summer in Harrisburg,Harrisburg Summer 2
summer_in_harrisburg_3,Summer in Harrisburg,Harrisburg Summer 3
summer_in_harrisburg_4,Summer in Harrisburg,Harrisburg Summer 4
summer_in_harrisburg_5,Summer in Harrisburg,Harrisburg Summer 5
summer_in_harrisburg_6,Summer in Harrisburg,Harrisburg Summer 6
summer_in_harrisburg_7,Summer in Harrisburg,Harrisburg Summer 7
gettysburg,Gettysburg,Gettysburg
with_uncle_bill,With Uncle Bill,With Uncle Bill 2
pleated_skirt,Pleated Uniform Skirt,Pleated Skirt
pleated_skirt_with_cat,Pleated Uniform Skirt with Cat,Pleated Skirt with Cat
fashion_shot_1,Fashion Shot,Fashion Shot 1
fashion_shot_2,Fashion Shot,Fashion Shot 2
nice_family,What a Nice Family!,Nice Family
high_school_graduation,High School Graduation Photo,High School Graduation
high_school_graduation_photo,High School Graduation Photo,High School Graduation Photo
graduation_day,"Graduation Day, June 14, 1936",Graduation Day
univ_of_detroit_acting,The beginning and end of my Acting Career,Acting Career
univ_of_detroit_classmates,A few of my classmates for the University of Detroit,UofDetroit Classmates
roller_skates_with_kay_goldie,"Roller Skating with my good friend at that time, Kay Goldie",Roller Skates 1
roller_skates,Me in my shoe skates,Roller Skates 2
college_dropout,Me sometime after my time at Univ of Detroit,College Dropout
kay_goldie _and_i,Kay Goldie and I ,Kay Goldie and I 
dorothy_and_i,Dorothy and I,Dorothy and I
pre_war_1,In Pennsyvania before the war,PreWar 1
pre_war_2,In Pennsyvania before the war,PreWar 2
pre_war_3,In Pennsyvania before the war,PreWar 3
